,index,ISOCode,RSA,PLAN
185,185,MWI,120294.95889929785,118468.75892742156
186,186,CYP,10449.001393264707,8991.658975563592
187,187,CYM,137.34258020787345,277.5612871399507
188,188,SHN,299.9799719400146,403.2743045213233
189,189,JPN,459453.4718010143,373627.08079483575
190,190,BLM,4.354996662513342,21.709779595588234
191,191,KAZ,4236364.385787183,2838894.7360852337
192,192,CAF,623727.1138459907,619791.905950668
193,193,LCA,548.1321668756175,617.2998693134812
194,194,LKA,65754.90368170793,66177.83182000891
195,195,JOR,103517.09258131741,89123.64113864533
196,196,AIA,28.79725242901475,82.49071786568625
197,197,KNA,198.28082860038697,275.6128569585783
198,198,SPM,171.5994981565506,227.90444226249951
199,199,TCD,1323740.9008650188,1269448.4494441175
200,200,KEN,584599.8877845176,582800.616553641
201,201,KOR,118185.36091740843,100578.58931292724
202,202,MAF,21.757468974147873,55.41098093504901
203,203,CHL,928798.0536581634,753810.12844745
204,204,VCT,309.4152573001295,409.1288108382353
205,205,PRK,158108.62836287872,122585.44070179231
206,206,KWT,19044.378417379023,17334.833128508588
207,207,CHN,11810510.920856737,9345683.778091976
208,208,SMR,51.49881733565753,60.87801384387251
209,209,CXR,83.31404029104552,137.15223713700982
210,210,LAO,242899.74974685034,230377.03078205782
211,211,KGZ,267271.51660793787,198315.83566181624
212,212,STP,851.9706102633943,1008.2950209115177
213,213,CCK,0.0,18.01236562696078
214,214,LBN,11984.462029274626,10215.423614824533
215,215,FRO,1970.0201741524093,1415.6848714836901
216,216,SJM,304506.7395801947,62151.389013308646
217,217,EST,84040.64701676335,45370.1252461788
218,218,ERI,124175.59224400583,120402.74156792491
219,219,ETH,1155105.2477456015,1128978.1736624802
220,220,FLK,15166.964269987864,12031.484588212592
221,221,SWZ,19362.07099695905,17369.371304403332
222,222,MCO,0.0,2.4754732029411763
223,223,FJI,16761.562687706686,18826.22181128431
224,224,SWE,966837.8134562974,449219.891954907
225,225,MDA,48148.82616057516,33852.459148228816
226,226,MNG,2285781.9411043413,1564868.4004292446
227,227,SGS,5411.414194180446,3877.3624670063696
228,228,CHE,60474.32422634926,41289.34988148653
229,229,FIN,765931.4653109723,335577.04171192157
230,230,TJK,184241.686551684,141342.7125948943
231,231,MSR,71.55879527898846,102.46456655637256
232,232,FRA,793957.5822805372,549166.7074562123
233,233,MNE,18340.070109327153,13897.22428280855
234,234,SYR,227527.37207738042,187485.4232559229
235,235,ALA,1284.5515155673181,1187.795190853069
236,236,MAR,492585.27501452493,414016.9940156053
237,237,GUF,83061.60188919822,83618.29065589864
238,238,THA,531406.0899777693,515401.60096904775
239,239,MOZ,822870.9562344612,786908.7461727582
240,240,PYF,2174.7283458905854,3736.6657718904426
241,241,TGO,56212.30621132104,56670.125359721
242,242,OMN,329923.2323898931,308312.60966345406
243,243,DJI,21807.69240707657,21672.446931021663
244,244,TKL,0.0,160.10921130465684
