,index,ISOCode,RSA,PLAN,contry_index,variable,group_rsa,sum_rsa,group_plan,sum_plan
97,24,MEX,"{'groups': [{'group': 2.0, 'sum': 247.29219879523646}, {'group': 3.0, 'sum': 152596.9241633779}, {'group': 4.0, 'sum': 898675.7451323484}]}","{'groups': [{'group': 2.0, 'sum': 222.0727962499997}, {'group': 3.0, 'sum': 135748.5773217779}, {'group': 4.0, 'sum': 805813.2656105192}]}",24,1,3.0,152596.9241633779,3.0,135748.5773217779
98,24,MEX,"{'groups': [{'group': 2.0, 'sum': 247.29219879523646}, {'group': 3.0, 'sum': 152596.9241633779}, {'group': 4.0, 'sum': 898675.7451323484}]}","{'groups': [{'group': 2.0, 'sum': 222.0727962499997}, {'group': 3.0, 'sum': 135748.5773217779}, {'group': 4.0, 'sum': 805813.2656105192}]}",24,2,4.0,898675.7451323484,4.0,805813.2656105192
99,24,MEX,"{'groups': [{'group': 2.0, 'sum': 247.29219879523646}, {'group': 3.0, 'sum': 152596.9241633779}, {'group': 4.0, 'sum': 898675.7451323484}]}","{'groups': [{'group': 2.0, 'sum': 222.0727962499997}, {'group': 3.0, 'sum': 135748.5773217779}, {'group': 4.0, 'sum': 805813.2656105192}]}",24,3,,,,
100,25,MKD,"{'groups': [{'group': 2.0, 'sum': 45.603586433281656}, {'group': 3.0, 'sum': 28883.19604430702}]}","{'groups': [{'group': 2.0, 'sum': 44.59634461617649}, {'group': 3.0, 'sum': 21830.454216964506}]}",25,0,2.0,45.603586433281656,2.0,44.59634461617649
101,25,MKD,"{'groups': [{'group': 2.0, 'sum': 45.603586433281656}, {'group': 3.0, 'sum': 28883.19604430702}]}","{'groups': [{'group': 2.0, 'sum': 44.59634461617649}, {'group': 3.0, 'sum': 21830.454216964506}]}",25,1,3.0,28883.19604430702,3.0,21830.454216964506
102,25,MKD,"{'groups': [{'group': 2.0, 'sum': 45.603586433281656}, {'group': 3.0, 'sum': 28883.19604430702}]}","{'groups': [{'group': 2.0, 'sum': 44.59634461617649}, {'group': 3.0, 'sum': 21830.454216964506}]}",25,2,,,,
103,25,MKD,"{'groups': [{'group': 2.0, 'sum': 45.603586433281656}, {'group': 3.0, 'sum': 28883.19604430702}]}","{'groups': [{'group': 2.0, 'sum': 44.59634461617649}, {'group': 3.0, 'sum': 21830.454216964506}]}",25,3,,,,
104,26,NZL,"{'groups': [{'group': 1.0, 'sum': 2412.8590527197207}, {'group': 2.0, 'sum': 11267.480280975193}, {'group': 3.0, 'sum': 174699.99589114764}, {'group': 4.0, 'sum': 195.9611215405315}]}","{'groups': [{'group': 1.0, 'sum': 1674.9652925000012}, {'group': 2.0, 'sum': 7967.108493037358}, {'group': 3.0, 'sum': 127335.82025740229}, {'group': 4.0, 'sum': 164.0160451387255}]}",26,0,1.0,2412.8590527197207,1.0,1674.9652925000012
105,26,NZL,"{'groups': [{'group': 1.0, 'sum': 2412.8590527197207}, {'group': 2.0, 'sum': 11267.480280975193}, {'group': 3.0, 'sum': 174699.99589114764}, {'group': 4.0, 'sum': 195.9611215405315}]}","{'groups': [{'group': 1.0, 'sum': 1674.9652925000012}, {'group': 2.0, 'sum': 7967.108493037358}, {'group': 3.0, 'sum': 127335.82025740229}, {'group': 4.0, 'sum': 164.0160451387255}]}",26,1,2.0,11267.480280975193,2.0,7967.108493037358
106,26,NZL,"{'groups': [{'group': 1.0, 'sum': 2412.8590527197207}, {'group': 2.0, 'sum': 11267.480280975193}, {'group': 3.0, 'sum': 174699.99589114764}, {'group': 4.0, 'sum': 195.9611215405315}]}","{'groups': [{'group': 1.0, 'sum': 1674.9652925000012}, {'group': 2.0, 'sum': 7967.108493037358}, {'group': 3.0, 'sum': 127335.82025740229}, {'group': 4.0, 'sum': 164.0160451387255}]}",26,2,3.0,174699.99589114764,3.0,127335.82025740229
