,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,Reporting Type,Observation Status,Bioclimatic Belt,ISOalpha3,Type,SeriesCode
1,607,Mountain Green Cover Index,032,ARG,2010,31.95695011783991,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Alpine,,Region,ER_MTN_GRNCVI
2,607,Mountain Green Cover Index,032,ARG,2010,47.0368457516742,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,ER_MTN_GRNCVI
0,607,Mountain Green Cover Index,032,ARG,2010,32.09964091019291,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Nival,,Region,ER_MTN_GRNCVI
3,607,Mountain Green Cover Index,032,ARG,2010,81.53795081090843,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,ER_MTN_GRNCVI
0,607,Mountain Green Cover Index,032,ARG,2010,50.12976542051894,2010,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,ER_MTN_GRNCVI
1,13,Mountain Green Cover Index,032,ARG,2015,31.882263958819333,2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Alpine,,Region,ER_MTN_GRNCVI
2,13,Mountain Green Cover Index,032,ARG,2015,46.99789735443039,2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,ER_MTN_GRNCVI
0,13,Mountain Green Cover Index,032,ARG,2015,32.08503173215986,2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Nival,,Region,ER_MTN_GRNCVI
3,13,Mountain Green Cover Index,032,ARG,2015,81.46245029090726,2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,ER_MTN_GRNCVI
0,13,Mountain Green Cover Index,032,ARG,2015,50.07901710946224,2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,ER_MTN_GRNCVI
1,211,Mountain Green Cover Index,032,ARG,2018,31.884456402553983,2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Alpine,,Region,ER_MTN_GRNCVI
2,211,Mountain Green Cover Index,032,ARG,2018,46.947829164531335,2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,ER_MTN_GRNCVI
