,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,Reporting Type,Observation Status,Bioclimatic Belt,ISOalpha3,Type,SeriesCode
0,1,Proportion of degraded mountain land,056,BEL,2015,0.026042630273344965,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,056,BEL,2018,0.0003626003563016341,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,XXXX
0,1,Proportion of degraded mountain land,056,BEL,2018,0.0003626003563016341,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,204,BEN,2015,0.00801500207528698,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,204,BEN,2015,0.00801500207528698,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,204,BEN,2018,0.0033520715171427014,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,204,BEN,2018,0.0033520715171427014,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,854,BFA,2015,0.002860205642177433,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,854,BFA,2015,0.002860205642177433,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,854,BFA,2018,0.0,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,854,BFA,2018,0.0,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,050,BGD,2015,0.0007699732314610876,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,050,BGD,2015,0.0007699732314610876,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,050,BGD,2018,0.0020895734961958413,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,050,BGD,2018,0.0020895734961958413,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,100,BGR,2015,0.03878070278482458,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Alpine,,Region,XXXX
1,1,Proportion of degraded mountain land,100,BGR,2015,0.00517644207333286,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,XXXX
0,1,Proportion of degraded mountain land,100,BGR,2015,0.02197857242907872,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,100,BGR,2018,0.0009546220882729471,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Alpine,,Region,XXXX
1,1,Proportion of degraded mountain land,100,BGR,2018,0.0011653266282650105,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,XXXX
0,1,Proportion of degraded mountain land,100,BGR,2018,0.0010599743582689787,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,070,BIH,2015,0.007598995311142718,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,XXXX
1,1,Proportion of degraded mountain land,070,BIH,2015,0.011356976591803115,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,070,BIH,2015,0.009477985951472916,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,070,BIH,2018,0.0030847155421303506,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,XXXX
1,1,Proportion of degraded mountain land,070,BIH,2018,0.0028222818232573658,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
